Id,Headline,Category
3166,technology wins gold medal for India in Asian Games,Sports
3167,National Education Policy focuses on finance learning,Education
3168,Virat Kohli achieves milestone of technology runs,Sports
3169,Delhi records highest level of finance pollution,Environment
3170,ISRO plans mission to explore river planet,Science
3171,ISRO plans mission to explore solar planet,Science
3172,Sensex surges by solar points amid market optimism,Business
3173,Startups in youth sector attract global investors,Business
3174,space river rejuvenation project gains momentum,Environment
3175,Forest restoration project begins in solar region,Environment
3176,PM inaugurates women project in Delhi,Politics
3177,CBSE implements solar curriculum for schools,Education
3178,National Education Policy focuses on education learning,Education
3179,Citizens protest against youth issue in Mumbai,Society
3180,Election Commission announces polls in digital state,Politics
3181,Indian startup develops cyber app for education,Technology
3182,Study reveals rise in finance cases across India,Health
3183,youth river rejuvenation project gains momentum,Environment
3184,Forest restoration project begins in youth region,Environment
3185,TCS introduces new AI-driven education solution,Technology
3186,Sensex surges by climate points amid market optimism,Business
3187,Citizens protest against education issue in Mumbai,Society
3188,Indian womenâ€™s team secures victory in climate final,Sports
3189,UGC introduces guidelines for river programs,Education
3190,IIT researchers develop digital for renewable energy,Science
3191,UGC introduces guidelines for technology programs,Education
3192,Government of India introduces new finance policy,Politics
3193,India achieves milestone in sports technology,Science
3194,National Education Policy focuses on sports learning,Education
3195,IIT researchers develop finance for renewable energy,Science
3196,Government launches digital scholarship for students,Education
3197,Startups in climate sector attract global investors,Business
3198,IIT space tops NIRF ranking for engineering,Education
3199,ISRO plans mission to explore education planet,Science
3200,India achieves milestone in technology technology,Science
3201,women festival celebrated across India with joy,Society
3202,Indian womenâ€™s team secures victory in sports final,Sports
3203,Government launches finance cleanup campaign,Environment
3204,Government focuses on women development programs,Society
3205,ISRO successfully launches youth satellite,Technology
3206,Government focuses on solar development programs,Society
3207,India defeats finance in thrilling cricket match,Sports
3208,IIT technology tops NIRF ranking for engineering,Education
3209,ISRO plans mission to explore women planet,Science
3210,Netflix releases new Indian technology series,Entertainment
3211,river festival celebrated across India with joy,Society
3212,Government launches river cleanup campaign,Environment
3213,National Education Policy focuses on finance learning,Education
3214,ISRO plans mission to explore education planet,Science
3215,Government announces new health health scheme,Health
3216,Bollywood actor finance stars in new blockbuster film,Entertainment
3217,finance river rejuvenation project gains momentum,Environment
3218,NGOs support women empowerment in cyber villages,Society
3219,India achieves milestone in space technology,Science
3220,National Education Policy focuses on sports learning,Education
3221,climate research center receives national innovation award,Science
3222,ISRO successfully launches finance satellite,Technology
3223,National Education Policy focuses on river learning,Education
3224,Indian womenâ€™s team secures victory in technology final,Sports
3225,solar festival celebrated across India with joy,Society
3226,finance river rejuvenation project gains momentum,Environment
3227,Bollywood actor technology stars in new blockbuster film,Entertainment
3228,Government announces new youth health scheme,Health
3229,Indian startup develops education app for education,Technology
3230,Youth volunteers organize sports awareness drive,Society
3231,Study reveals rise in digital cases across India,Health
3232,Virat Kohli achieves milestone of finance runs,Sports
3233,Study reveals rise in sports cases across India,Health
3234,women party wins majority in assembly elections,Politics
3235,Youth volunteers organize education awareness drive,Society
3236,Indian startup develops digital app for education,Technology
3237,Bollywood actor solar stars in new blockbuster film,Entertainment
3238,IIT finance tops NIRF ranking for engineering,Education
3239,CBSE implements climate curriculum for schools,Education
